rsi_buy,rsi_sell,sl_atr_mult,tp_atr_mult,adx_threshold,stoch_oversold,sharpe,total_return,max_drawdown,win_rate,total_trades
35,75,2.5,4.0,25,25,1.299,1.41,-0.5,47.17,212
35,75,2.5,4.0,25,20,1.282,1.38,-0.5,46.86,207
30,75,2.5,3.0,20,25,1.26,1.2,-0.43,52.68,205
40,75,3.0,5.0,30,25,1.253,1.39,-0.63,47.31,167
40,75,3.0,5.0,30,20,1.227,1.33,-0.6,47.17,159
30,75,2.5,4.0,20,25,1.223,1.31,-0.51,47.47,198
25,75,2.5,3.0,20,25,1.217,1.01,-0.47,53.02,149
40,75,2.5,4.0,25,25,1.217,1.37,-0.48,47.39,230
40,75,3.0,4.0,30,20,1.209,1.22,-0.5,51.25,160
40,75,3.0,4.0,30,25,1.209,1.24,-0.53,51.19,168
