asset,asset_name,category,hypothesis,group,description,test_pf,test_sharpe,test_max_dd,test_trades,test_wr,test_expectancy,oos_pf,oos_sharpe,oos_max_dd,oos_trades,oos_wr,oos_expectancy,oos_verdict,robustness,rob_verdict,mc_prob_profit,mc_pnl_mean,mc_dd_95pct,dominant_regime,pct_trending,pct_mean_rev,pct_high_vol,pct_low_vol
NASDAQ,NASDAQ Futures,index,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,1.8880,0.2420,901.2000,52,0.4615,51.0200,1.0970,0.0410,1898.8000,70,0.4143,6.0800,PASS,0.8761,ROBUST,0.9620,2601.7000,1392.0000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
GOLD,Gold Futures,commodity,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,1.2190,0.0810,2447.6000,376,0.4229,19.1400,1.0880,0.0330,6819.9000,480,0.4104,16.6000,OOS_PASS,0.8702,ROBUST,0.9320,7207.5000,5681.7000,TRENDING,0.5186,0.0426,0.4043,0.0346
EURUSD,EUR/USD,forex,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),1.3720,0.1340,372.2000,403,0.4094,3.2700,1.0830,0.0360,291.7000,474,0.3523,0.6600,PASS,0.8278,ROBUST,0.9940,1309.7000,445.5000,TRENDING,0.5211,0.0968,0.2308,0.1514
IBOV,Ibovespa,index,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,1.2290,0.0930,6750.5000,168,0.3869,76.9000,0.8410,-0.0740,23180.2000,249,0.2851,-75.2900,DEGRADED,0.7975,ROBUST,0.8740,12486.1000,14032.0000,TRENDING,0.5655,0.0536,0.3690,0.0119
EURUSD,EUR/USD,forex,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,1.2410,0.0920,404.2000,546,0.3773,2.2000,1.0980,0.0420,372.5000,714,0.3431,0.7700,OOS_PASS,0.7618,ROBUST,0.9920,1244.1000,592.3000,TRENDING,0.4835,0.0788,0.3095,0.1282
IBOV,Ibovespa,index,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),2.6590,0.4280,1070.3000,5,0.6000,355.0700,3.9580,0.5510,687.6000,7,0.5714,595.3100,PASS,0.7473,ROBUST,0.8500,1832.3000,1725.5000,LOW_VOLATILITY,0.0000,0.0000,0.2000,0.8000
EURUSD,EUR/USD,forex,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,1.2410,0.0920,494.8000,453,0.3775,2.2200,1.0790,0.0340,272.1000,583,0.3465,0.6300,OOS_PASS,0.7148,ROBUST,0.9780,1041.1000,539.0000,TRENDING,0.5166,0.0751,0.2826,0.1258
IBOV,Ibovespa,index,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,1.2410,0.0970,6121.9000,142,0.3873,80.9000,0.8240,-0.0820,21503.0000,227,0.2819,-83.3100,DEGRADED,0.6976,MODERATE,0.8620,11457.8000,13877.0000,TRENDING,0.5211,0.0563,0.3944,0.0282
ITUB4,Itau Unibanco,brazil_equity,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),1.0910,0.0400,310.0000,118,0.3559,1.2300,1.0870,0.0370,373.6000,124,0.3468,1.6300,OOS_PASS,0.5583,MODERATE,0.6720,155.0000,588.2000,TRENDING,0.6186,0.0847,0.2458,0.0508
PETR4,Petrobras,brazil_equity,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,1.2490,0.1010,485.4000,128,0.4062,5.3200,1.2830,0.1070,603.6000,162,0.4444,6.9000,OOS_PASS,0.4832,WEAK,0.8960,718.0000,806.6000,TRENDING,0.6172,0.0391,0.3281,0.0156
GOLD,Gold Futures,commodity,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,1.1570,0.0600,2663.9000,372,0.4140,13.8300,1.1440,0.0520,6930.0000,447,0.4072,26.4600,OOS_PASS,0.4780,WEAK,0.8820,5116.4000,6131.3000,TRENDING,0.5134,0.0349,0.4113,0.0403
ITUB4,Itau Unibanco,brazil_equity,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),4.8950,0.6540,18.7000,5,0.6000,27.2000,2.0860,0.3190,76.9000,6,0.5000,13.9200,OOS_PASS,0.4632,WEAK,0.9100,130.1000,53.6000,LOW_VOLATILITY,0.0000,0.0000,0.2000,0.8000
PETR4,Petrobras,brazil_equity,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,1.2040,0.0850,329.8000,122,0.4098,4.5000,1.0770,0.0320,1090.4000,171,0.4094,2.0000,OOS_PASS,0.4573,WEAK,0.8260,562.8000,872.5000,TRENDING,0.5820,0.0492,0.3607,0.0082
NASDAQ,NASDAQ Futures,index,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),1.1620,0.0610,600.4000,222,0.3198,5.6200,1.0800,0.0330,1141.5000,249,0.3052,2.7700,OOS_PASS,0.4548,WEAK,0.8160,1248.4000,1967.9000,LOW_VOLATILITY,0.0000,0.0000,0.4009,0.5991
