key,asset,hypothesis,n_trades,n_cascades,cascade_rate,avg_depth,median_depth,max_depth,p90_depth,avg_cascade_dd_pips,worst_cascade_dd_pips,avg_recovery_trades,median_recovery_trades,pct_unrecovered,throttle_trigger_at_N,p_loss_after_1,p_loss_after_2,p_loss_after_3,p_loss_after_5
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,1412,223,0.1579,3.62,3.0,10,6.0,-1822.99,-7404.15,23.1,4.0,1.8,,0.6434,0.6186,0.6047,0.5551
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,153,20,0.1307,3.75,3.0,11,5.300000000000004,-375.21,-1365.5,4.7,3.0,10.0,5.0,0.6307,0.6339,0.5417,0.7308
GOLD_TF_Momentum,GOLD,TF_Momentum,1027,139,0.1353,3.5,3.0,13,5.0,-775.74,-6396.53,21.2,6.0,4.3,6.0,0.5741,0.6003,0.5738,0.6214
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,1442,208,0.1442,3.88,3.0,14,7.0,-418.3,-2347.2,30.0,4.0,1.9,2.0,0.6439,0.6536,0.6696,0.6308
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,1068,154,0.1442,3.92,3.0,13,7.0,-431.99,-2133.92,19.3,4.0,1.3,1.0,0.6567,0.6574,0.6515,0.6732
EURUSD_MR_RSI_Exhaust,EURUSD,MR_RSI_Exhaust,904,130,0.1438,3.71,3.0,14,6.0,-11.47,-76.22,16.2,3.0,0.8,,0.6363,0.6321,0.6104,0.5988
EURUSD_MR_EMA_Dist,EURUSD,MR_EMA_Dist,1667,234,0.1404,3.74,3.0,16,6.0,-11.54,-68.69,17.7,5.0,0.4,7.0,0.6218,0.6352,0.6106,0.5521
ITUB4_MR_RSI_Exhaust,ITUB4,MR_RSI_Exhaust,377,48,0.1273,4.62,4.0,13,7.6000000000000085,-98.89,-406.13,10.3,3.0,22.9,1.0,0.6952,0.727,0.7024,0.7131
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,2093,309,0.1476,3.76,3.0,12,6.0,-1921.88,-10792.35,23.2,4.0,0.0,,0.6386,0.6372,0.6186,0.5732
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,344,45,0.1308,3.4,3.0,11,5.0,-137.53,-529.61,10.3,5.0,4.4,6.0,0.5425,0.5826,0.5234,0.5526
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,985,133,0.135,3.65,3.0,10,7.0,-795.58,-4246.92,23.5,5.0,4.5,,0.5995,0.6218,0.625,0.6131
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,390,58,0.1487,3.71,3.0,12,6.300000000000004,-851.72,-2513.11,8.4,4.0,3.4,5.0,0.6275,0.6297,0.635,0.6548
