key,asset,hypothesis,streak_length,n_observations,n_loss_follows,p_loss,p_win,risk_elevated
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,1,909,585,0.6434,0.3566,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,2,585,362,0.6186,0.3814,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,3,362,219,0.6047,0.3953,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,4,219,126,0.575,0.425,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,5,126,70,0.5551,0.4449,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,6,70,35,0.5,0.5,False
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,7,35,15,0.4306,0.5694,False
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,1,87,55,0.6307,0.3693,False
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,2,55,35,0.6339,0.3661,False
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,3,35,19,0.5417,0.4583,False
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,4,19,12,0.625,0.375,False
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,5,12,9,0.7308,0.2692,True
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,6,9,7,0.75,0.25,True
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,7,7,5,0.6875,0.3125,True
GOLD_TF_Momentum,GOLD,TF_Momentum,1,606,348,0.5741,0.4259,False
GOLD_TF_Momentum,GOLD,TF_Momentum,2,348,209,0.6003,0.3997,False
GOLD_TF_Momentum,GOLD,TF_Momentum,3,209,120,0.5738,0.4262,False
GOLD_TF_Momentum,GOLD,TF_Momentum,4,120,69,0.5744,0.4256,False
GOLD_TF_Momentum,GOLD,TF_Momentum,5,69,43,0.6214,0.3786,False
GOLD_TF_Momentum,GOLD,TF_Momentum,6,43,30,0.6932,0.3068,True
GOLD_TF_Momentum,GOLD,TF_Momentum,7,30,19,0.629,0.371,False
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,1,930,599,0.6439,0.3561,False
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,2,598,391,0.6536,0.3464,True
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,3,391,262,0.6696,0.3304,True
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,4,262,171,0.6521,0.3479,True
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,5,171,108,0.6308,0.3692,False
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,6,108,65,0.6009,0.3991,False
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,7,65,40,0.6136,0.3864,False
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,1,685,450,0.6567,0.3433,True
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,2,450,296,0.6574,0.3426,True
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,3,296,193,0.6515,0.3485,True
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,4,193,126,0.6521,0.3479,True
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,5,126,85,0.6732,0.3268,True
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,6,85,54,0.6337,0.3663,False
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,7,54,35,0.6455,0.3545,False
