regime,n_blocks_used,pearson_r,interpretation,asset
TRENDING,94,0.222,NO_DURATION_EFFECT,BTC
MEAN_REVERTING,2,,INSUFFICIENT_DATA,BTC
HIGH_VOLATILITY,99,0.0845,NO_DURATION_EFFECT,BTC
LOW_VOLATILITY,2,,INSUFFICIENT_DATA,BTC
TRENDING,0,,INSUFFICIENT_DATA,NASDAQ
MEAN_REVERTING,0,,INSUFFICIENT_DATA,NASDAQ
HIGH_VOLATILITY,0,,INSUFFICIENT_DATA,NASDAQ
LOW_VOLATILITY,0,,INSUFFICIENT_DATA,NASDAQ
TRENDING,56,0.2292,NO_DURATION_EFFECT,GOLD
MEAN_REVERTING,0,,INSUFFICIENT_DATA,GOLD
HIGH_VOLATILITY,35,0.0813,NO_DURATION_EFFECT,GOLD
LOW_VOLATILITY,0,,INSUFFICIENT_DATA,GOLD
TRENDING,70,0.1305,NO_DURATION_EFFECT,DXY
MEAN_REVERTING,1,,INSUFFICIENT_DATA,DXY
HIGH_VOLATILITY,60,0.2847,NO_DURATION_EFFECT,DXY
LOW_VOLATILITY,5,0.6622,LONGER_DURATION_BETTER_PF,DXY
TRENDING,87,0.0637,NO_DURATION_EFFECT,EURUSD
MEAN_REVERTING,64,0.3298,LONGER_DURATION_BETTER_PF,EURUSD
HIGH_VOLATILITY,25,-0.1958,NO_DURATION_EFFECT,EURUSD
LOW_VOLATILITY,11,-0.1376,NO_DURATION_EFFECT,EURUSD
TRENDING,11,0.3693,LONGER_DURATION_BETTER_PF,ITUB4
MEAN_REVERTING,0,,INSUFFICIENT_DATA,ITUB4
HIGH_VOLATILITY,0,,INSUFFICIENT_DATA,ITUB4
LOW_VOLATILITY,0,,INSUFFICIENT_DATA,ITUB4
TRENDING,9,-0.2033,NO_DURATION_EFFECT,PETR4
MEAN_REVERTING,0,,INSUFFICIENT_DATA,PETR4
HIGH_VOLATILITY,1,,INSUFFICIENT_DATA,PETR4
LOW_VOLATILITY,0,,INSUFFICIENT_DATA,PETR4
TRENDING,9,-0.4241,SHORTER_DURATION_BETTER_PF,SPY
MEAN_REVERTING,0,,INSUFFICIENT_DATA,SPY
HIGH_VOLATILITY,7,-0.2597,NO_DURATION_EFFECT,SPY
LOW_VOLATILITY,1,,INSUFFICIENT_DATA,SPY
