key,asset,hypothesis,n_trades,baseline_pf,final_pf,decay_magnitude,decay_type,half_life_30,half_life_60,half_life_90,decay_type_30,decay_type_60,decay_type_90
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,1412,0.97,1.159,0.1949,STABLE,260.0,inf,inf,STABLE,STABLE,STABLE
NASDAQ_VOL_ATR_Expand,NASDAQ,VOL_ATR_Expand,153,1.693,0.964,-0.4305,DECAY,98.0,76.0,inf,DECAY,DECAY,DECAY
GOLD_TF_Momentum,GOLD,TF_Momentum,1027,1.019,1.07,0.0499,STABLE,22.0,inf,inf,STABLE,STABLE,STABLE
DXY_MR_EMA_Dist,DXY,MR_EMA_Dist,1442,1.31,1.042,-0.2047,STABLE,208.0,280.0,inf,STABLE,STABLE,STABLE
DXY_MR_RSI_Exhaust,DXY,MR_RSI_Exhaust,1068,1.14,1.032,-0.0949,STABLE,85.0,inf,inf,STABLE,STABLE,STABLE
EURUSD_MR_RSI_Exhaust,EURUSD,MR_RSI_Exhaust,904,1.141,1.411,0.2369,STABLE,75.0,58.0,50.0,STABLE,STABLE,STABLE
EURUSD_MR_EMA_Dist,EURUSD,MR_EMA_Dist,1667,1.143,1.385,0.2114,STABLE,169.0,143.0,inf,STABLE,STABLE,STABLE
ITUB4_MR_RSI_Exhaust,ITUB4,MR_RSI_Exhaust,377,1.329,0.855,-0.3571,DECAY,69.0,274.0,inf,DECAY,DECAY,DECAY
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,2093,1.134,1.113,-0.019,STABLE,205.0,473.0,445.0,STABLE,STABLE,STABLE
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,344,1.246,1.264,0.0145,STABLE,110.0,inf,inf,STABLE,STABLE,STABLE
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,985,1.007,1.132,0.1237,STABLE,679.0,inf,inf,STABLE,STABLE,STABLE
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,390,0.985,1.301,0.321,STABLE,inf,inf,inf,STABLE,STABLE,STABLE
