from_regime,to_regime,n_events,n_pre_trades,n_post_trades,pf_pre,pf_post,delta_pf,recovery_bars,degrades,asset,hypothesis
TRENDING,HIGH_VOLATILITY,874,490,515,1.152,1.254,0.102,7.5,False,BTC,MR_RSI_Exhaust
HIGH_VOLATILITY,TRENDING,865,502,415,1.238,1.107,-0.1312,6.0,True,BTC,MR_RSI_Exhaust
LOW_VOLATILITY,TRENDING,175,43,143,1.175,1.108,-0.0665,7.5,True,BTC,MR_RSI_Exhaust
HIGH_VOLATILITY,LOW_VOLATILITY,168,62,27,1.886,0.668,-1.218,3.4,True,BTC,MR_RSI_Exhaust
LOW_VOLATILITY,HIGH_VOLATILITY,165,42,76,0.536,1.54,1.0031,6.9,False,BTC,MR_RSI_Exhaust
TRENDING,LOW_VOLATILITY,165,65,58,1.375,0.844,-0.5304,4.6,True,BTC,MR_RSI_Exhaust
TRENDING,MEAN_REVERTING,88,54,57,0.841,0.813,-0.0278,4.4,False,BTC,MR_RSI_Exhaust
MEAN_REVERTING,TRENDING,87,49,51,0.594,1.746,1.1524,6.8,False,BTC,MR_RSI_Exhaust
HIGH_VOLATILITY,MEAN_REVERTING,77,74,15,1.071,1.284,0.2137,3.1,False,BTC,MR_RSI_Exhaust
MEAN_REVERTING,HIGH_VOLATILITY,72,22,47,1.324,1.157,-0.167,9.4,True,BTC,MR_RSI_Exhaust
MEAN_REVERTING,LOW_VOLATILITY,12,5,4,1.815,,,,,BTC,MR_RSI_Exhaust
LOW_VOLATILITY,MEAN_REVERTING,5,4,3,,,,,,BTC,MR_RSI_Exhaust
HIGH_VOLATILITY,TRENDING,516,133,0,1.486,,,,,NASDAQ,VOL_ATR_Expand
TRENDING,HIGH_VOLATILITY,512,0,118,,1.452,,,,NASDAQ,VOL_ATR_Expand
LOW_VOLATILITY,TRENDING,210,0,0,,,,,,NASDAQ,VOL_ATR_Expand
TRENDING,LOW_VOLATILITY,209,0,0,,,,,,NASDAQ,VOL_ATR_Expand
LOW_VOLATILITY,HIGH_VOLATILITY,142,0,22,,1.052,,,,NASDAQ,VOL_ATR_Expand
HIGH_VOLATILITY,LOW_VOLATILITY,132,9,0,3.153,,,,,NASDAQ,VOL_ATR_Expand
TRENDING,MEAN_REVERTING,59,0,0,,,,,,NASDAQ,VOL_ATR_Expand
MEAN_REVERTING,TRENDING,54,0,0,,,,,,NASDAQ,VOL_ATR_Expand
HIGH_VOLATILITY,MEAN_REVERTING,43,11,0,0.841,,,,,NASDAQ,VOL_ATR_Expand
MEAN_REVERTING,HIGH_VOLATILITY,38,0,13,,2.018,,,,NASDAQ,VOL_ATR_Expand
MEAN_REVERTING,LOW_VOLATILITY,19,0,0,,,,,,NASDAQ,VOL_ATR_Expand
LOW_VOLATILITY,MEAN_REVERTING,8,0,0,,,,,,NASDAQ,VOL_ATR_Expand
HIGH_VOLATILITY,TRENDING,570,361,408,0.874,1.272,0.3979,7.5,False,GOLD,TF_Momentum
TRENDING,HIGH_VOLATILITY,555,399,354,1.412,0.871,-0.5405,7.1,True,GOLD,TF_Momentum
TRENDING,LOW_VOLATILITY,129,61,23,1.08,2.416,1.3353,4.1,False,GOLD,TF_Momentum
LOW_VOLATILITY,TRENDING,122,24,101,1.183,1.455,0.2719,7.5,False,GOLD,TF_Momentum
LOW_VOLATILITY,HIGH_VOLATILITY,74,8,28,2.999,0.66,-2.3391,4.7,True,GOLD,TF_Momentum
HIGH_VOLATILITY,LOW_VOLATILITY,65,25,10,0.615,0.54,-0.0755,2.6,True,GOLD,TF_Momentum
TRENDING,MEAN_REVERTING,64,83,24,1.123,1.582,0.4587,4.4,False,GOLD,TF_Momentum
MEAN_REVERTING,TRENDING,57,23,34,1.596,1.738,0.1429,7.1,False,GOLD,TF_Momentum
MEAN_REVERTING,HIGH_VOLATILITY,45,11,34,2.776,0.831,-1.945,8.3,True,GOLD,TF_Momentum
HIGH_VOLATILITY,MEAN_REVERTING,39,30,9,0.822,2.465,1.643,2.7,False,GOLD,TF_Momentum
MEAN_REVERTING,LOW_VOLATILITY,9,1,0,,,,,,GOLD,TF_Momentum
LOW_VOLATILITY,MEAN_REVERTING,7,1,1,,,,,,GOLD,TF_Momentum
TRENDING,HIGH_VOLATILITY,546,468,421,1.109,1.185,0.0757,6.7,False,DXY,MR_EMA_Dist
HIGH_VOLATILITY,TRENDING,543,459,332,1.252,1.038,-0.2142,5.8,True,DXY,MR_EMA_Dist
LOW_VOLATILITY,TRENDING,202,93,316,0.889,1.055,0.1655,9.2,False,DXY,MR_EMA_Dist
TRENDING,LOW_VOLATILITY,199,164,74,0.922,1.02,0.0977,4.3,False,DXY,MR_EMA_Dist
HIGH_VOLATILITY,LOW_VOLATILITY,121,59,37,1.147,0.792,-0.3553,3.1,True,DXY,MR_EMA_Dist
LOW_VOLATILITY,HIGH_VOLATILITY,115,18,103,1.389,1.714,0.3258,6.4,False,DXY,MR_EMA_Dist
MEAN_REVERTING,TRENDING,67,33,47,1.01,0.888,-0.1222,6.1,True,DXY,MR_EMA_Dist
TRENDING,MEAN_REVERTING,67,63,39,0.839,0.843,0.0043,4.8,False,DXY,MR_EMA_Dist
MEAN_REVERTING,HIGH_VOLATILITY,51,26,47,1.212,1.091,-0.1209,5.9,True,DXY,MR_EMA_Dist
HIGH_VOLATILITY,MEAN_REVERTING,47,53,10,1.265,0.861,-0.4036,2.5,True,DXY,MR_EMA_Dist
LOW_VOLATILITY,MEAN_REVERTING,12,4,12,,2.491,,,,DXY,MR_EMA_Dist
MEAN_REVERTING,LOW_VOLATILITY,9,2,4,,,,,,DXY,MR_EMA_Dist
TRENDING,HIGH_VOLATILITY,546,338,292,1.156,1.293,0.1368,6.7,False,DXY,MR_RSI_Exhaust
HIGH_VOLATILITY,TRENDING,543,292,241,1.264,1.103,-0.161,5.8,True,DXY,MR_RSI_Exhaust
LOW_VOLATILITY,TRENDING,202,83,232,0.661,1.048,0.3864,9.2,False,DXY,MR_RSI_Exhaust
TRENDING,LOW_VOLATILITY,199,125,84,0.944,0.931,-0.0132,4.3,False,DXY,MR_RSI_Exhaust
HIGH_VOLATILITY,LOW_VOLATILITY,121,62,28,1.456,0.708,-0.748,3.1,True,DXY,MR_RSI_Exhaust
LOW_VOLATILITY,HIGH_VOLATILITY,115,26,60,1.432,1.488,0.0557,6.4,False,DXY,MR_RSI_Exhaust
