regime,n_blocks,mean_bars,median_bars,p25_bars,p75_bars,p95_bars,max_bars,mean_hours,mean_days,total_bars,pct_of_time,asset
TRENDING,1127,6.3,4.0,2.0,9.0,19.700000000000045,40,6.3,0.26,7091,40.55,BTC
MEAN_REVERTING,171,3.8,3.0,2.0,5.5,8.5,13,3.8,0.16,653,3.73,BTC
HIGH_VOLATILITY,1111,7.5,4.0,1.0,12.0,25.0,51,7.5,0.31,8336,47.67,BTC
LOW_VOLATILITY,345,4.1,3.0,1.0,6.0,12.0,20,4.1,0.17,1406,8.04,BTC
TRENDING,780,5.6,4.0,2.0,8.0,17.0,36,5.6,0.23,4372,38.42,NASDAQ
MEAN_REVERTING,111,3.7,3.0,2.0,5.0,9.0,11,3.7,0.16,413,3.63,NASDAQ
HIGH_VOLATILITY,692,7.5,4.0,2.0,12.0,24.0,61,7.5,0.31,5213,45.81,NASDAQ
LOW_VOLATILITY,360,3.8,4.0,2.0,6.0,8.050000000000011,10,3.8,0.16,1381,12.14,NASDAQ
TRENDING,749,7.5,4.0,2.0,11.0,25.600000000000023,64,7.5,0.31,5585,48.92,GOLD
MEAN_REVERTING,111,3.9,3.0,1.0,6.0,10.0,21,3.9,0.16,428,3.75,GOLD
HIGH_VOLATILITY,674,6.9,4.0,1.0,11.0,21.0,50,6.9,0.29,4670,40.91,GOLD
LOW_VOLATILITY,203,3.6,3.0,1.0,5.0,9.0,17,3.6,0.15,733,6.42,GOLD
TRENDING,812,6.6,4.0,2.0,9.0,20.449999999999932,47,6.6,0.28,5394,45.35,DXY
MEAN_REVERTING,127,3.9,3.0,2.0,5.5,9.0,12,3.9,0.16,496,4.17,DXY
HIGH_VOLATILITY,712,6.6,4.0,1.0,10.0,21.0,50,6.6,0.28,4723,39.71,DXY
LOW_VOLATILITY,329,3.9,3.0,2.0,6.0,9.0,14,3.9,0.16,1281,10.77,DXY
TRENDING,421,12.0,8.0,3.0,17.0,37.0,85,12.0,0.5,5053,41.79,EURUSD
MEAN_REVERTING,291,13.0,8.0,3.0,17.0,44.5,113,13.0,0.54,3771,31.19,EURUSD
HIGH_VOLATILITY,343,5.5,4.0,2.0,8.5,14.0,30,5.5,0.23,1878,15.53,EURUSD
LOW_VOLATILITY,272,5.1,3.0,1.0,7.0,16.0,22,5.1,0.21,1389,11.49,EURUSD
TRENDING,239,11.7,5.0,2.0,16.0,39.19999999999999,90,11.7,0.49,2789,64.61,ITUB4
MEAN_REVERTING,42,4.6,4.0,2.0,7.0,10.0,11,4.6,0.19,195,4.52,ITUB4
HIGH_VOLATILITY,205,6.1,3.0,1.0,9.0,18.799999999999983,34,6.1,0.26,1258,29.14,ITUB4
LOW_VOLATILITY,27,2.8,1.0,1.0,3.5,8.399999999999999,13,2.8,0.12,75,1.74,ITUB4
TRENDING,209,9.5,6.0,2.0,14.0,29.599999999999994,73,9.5,0.4,1984,57.13,PETR4
MEAN_REVERTING,46,5.0,5.0,3.0,7.0,9.75,13,5.0,0.21,232,6.68,PETR4
HIGH_VOLATILITY,194,5.9,3.0,1.0,8.0,19.0,39,5.9,0.25,1145,32.97,PETR4
LOW_VOLATILITY,32,3.5,2.5,1.0,4.5,9.45,13,3.5,0.15,112,3.22,PETR4
TRENDING,205,7.7,5.0,2.0,11.0,24.799999999999983,42,7.7,0.32,1571,45.33,SPY
MEAN_REVERTING,30,5.0,4.0,2.0,7.0,11.0,17,5.0,0.21,151,4.36,SPY
HIGH_VOLATILITY,190,7.9,4.0,1.0,12.0,23.0,43,7.9,0.33,1496,43.16,SPY
LOW_VOLATILITY,51,4.9,4.0,2.0,6.5,11.5,18,4.9,0.2,248,7.16,SPY
