n_transition_trades,n_stable_trades,pf_transition_zone,pf_stable_zone,pf_ratio,verdict,asset,hypothesis
976,436,1.061,1.449,0.7321,DIE_AT_TRANSITIONS,BTC,MR_RSI_Exhaust
101,52,2.192,0.652,3.3634,DIE_WITHIN_REGIMES,NASDAQ,VOL_ATR_Expand
721,306,1.066,1.215,0.8777,TRANSITION_RESILIENT,GOLD,TF_Momentum
1082,360,1.118,1.103,1.0138,TRANSITION_RESILIENT,DXY,MR_EMA_Dist
803,265,1.191,1.002,1.188,TRANSITION_RESILIENT,DXY,MR_RSI_Exhaust
487,417,1.328,1.119,1.1866,TRANSITION_RESILIENT,EURUSD,MR_RSI_Exhaust
905,762,1.257,1.168,1.0757,TRANSITION_RESILIENT,EURUSD,MR_EMA_Dist
226,151,1.024,0.905,1.1307,DIE_WITHIN_REGIMES,ITUB4,MR_RSI_Exhaust
1433,660,1.14,1.247,0.9144,TRANSITION_RESILIENT,BTC,MR_EMA_Dist
212,132,1.181,1.352,0.8736,TRANSITION_RESILIENT,PETR4,TF_EMA_Slope
681,304,1.167,1.048,1.1137,TRANSITION_RESILIENT,GOLD,TF_EMA_Slope
240,150,1.198,1.192,1.0045,TRANSITION_RESILIENT,SPY,MR_BB_Stretch
