asset,regime,best_group,best_group_pf,best_hypothesis,best_hyp_pf,n_total_trades,pf_mean_rev,pf_trend_fo,pf_volatili
BTC,HIGH_VOLATILITY,mean_reversion,1.276,MR_RSI_Exhaust,1.422,1993,1.276,1.027,1.07
BTC,LOW_VOLATILITY,mean_reversion,1.34,TF_EMA_Slope,1.902,272,1.34,1.192,1.136
BTC,MEAN_REVERTING,trend_follow,1.195,TF_EMA_Slope,1.316,89,0.739,1.195,
BTC,TRENDING,mean_reversion,1.106,MR_RSI_Exhaust,1.161,1756,1.106,0.959,
DXY,HIGH_VOLATILITY,mean_reversion,1.149,VOL_Range_Bkout,1.195,1133,1.149,1.009,1.128
DXY,LOW_VOLATILITY,mean_reversion,1.262,MR_EMA_Dist,1.453,457,1.262,0.677,0.967
DXY,MEAN_REVERTING,mean_reversion,1.55,MR_BB_Stretch,1.947,69,1.55,1.015,
DXY,TRENDING,mean_reversion,1.188,MR_BB_Stretch,1.232,1253,1.188,1.029,
EURUSD,HIGH_VOLATILITY,mean_reversion,1.7,MR_RSI_Exhaust,1.929,890,1.7,0.823,0.9
EURUSD,LOW_VOLATILITY,trend_follow,1.264,MR_RSI_Exhaust,1.669,482,1.189,1.264,0.927
EURUSD,MEAN_REVERTING,mean_reversion,1.056,MR_BB_Stretch,1.289,207,1.056,0.787,
EURUSD,TRENDING,mean_reversion,1.127,MR_RSI_Exhaust,1.189,1375,1.127,0.796,
GOLD,HIGH_VOLATILITY,mean_reversion,1.01,TF_Breakout_20,1.082,920,1.01,1.006,0.7
GOLD,LOW_VOLATILITY,mean_reversion,1.176,MR_BB_Stretch,1.77,161,1.176,0.868,0.91
GOLD,MEAN_REVERTING,trend_follow,2.635,TF_Momentum,2.715,103,1.171,2.635,
GOLD,TRENDING,trend_follow,1.239,TF_Momentum,1.381,1239,0.735,1.239,
IBOV,HIGH_VOLATILITY,mean_reversion,1.461,MR_RSI_Exhaust,1.522,325,1.461,0.838,
IBOV,TRENDING,trend_follow,1.205,TF_Breakout_20,1.377,415,1.051,1.205,
ITUB4,HIGH_VOLATILITY,mean_reversion,1.018,MR_RSI_Exhaust,1.676,233,1.018,0.776,
ITUB4,MEAN_REVERTING,mean_reversion,1.224,MR_RSI_Exhaust,1.224,10,1.224,,
ITUB4,TRENDING,trend_follow,1.069,TF_Momentum,1.253,430,1.055,1.069,
NASDAQ,HIGH_VOLATILITY,volatility,1.506,VOL_ATR_Expand,1.888,1197,1.086,0.944,1.506
NASDAQ,LOW_VOLATILITY,trend_follow,1.205,TF_Breakout_20,1.355,425,1.098,1.205,1.191
NASDAQ,MEAN_REVERTING,trend_follow,1.172,MR_RSI_Exhaust,1.309,41,1.028,1.172,
NASDAQ,TRENDING,trend_follow,0.992,TF_Momentum,1.025,1093,0.909,0.992,
PETR4,HIGH_VOLATILITY,trend_follow,1.16,TF_Momentum,1.28,224,0.83,1.16,
PETR4,MEAN_REVERTING,mean_reversion,0.132,MR_RSI_Exhaust,0.395,30,0.132,,
PETR4,TRENDING,trend_follow,1.054,TF_EMA_Slope,1.348,460,0.901,1.054,
QQQ,HIGH_VOLATILITY,mean_reversion,1.804,MR_RSI_Exhaust,2.149,285,1.804,0.666,
QQQ,MEAN_REVERTING,mean_reversion,0.41,MR_EMA_Dist,0.41,12,0.41,,
QQQ,TRENDING,trend_follow,1.36,TF_Momentum,1.611,416,1.077,1.36,
SPY,HIGH_VOLATILITY,volatility,2.804,VOL_Range_Bkout,5.171,305,1.506,0.944,2.804
SPY,TRENDING,mean_reversion,1.242,MR_RSI_Exhaust,1.292,409,1.242,1.08,
