asset,category,hypothesis,group,oos_verdict,cluster_km,is_dbscan_outlier,cluster_name,robustness,test_pf,oos_pf,test_sharpe,test_wr,pct_trending,pct_high_vol,pct_low_vol,pct_mean_rev,pf_degradation,mc_prob_profit
EURUSD,forex,TF_EMA_Slope,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2499,0.896,1.15,-0.049,0.3627,0.5086,0.324,0.0901,0.0773,0.2825,0.154
EURUSD,forex,TF_Momentum,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.1718,0.806,1.068,-0.096,0.3347,0.5305,0.3032,0.0947,0.0716,0.3257,0.014
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2577,0.784,0.897,-0.108,0.3314,0.5042,0.3201,0.1161,0.0595,0.1432,0.018
EURUSD,forex,VOL_ATR_Expand,volatility,DEGRADED,0,True,DATA_MINING_OVERFIT,0.234,1.076,0.845,0.032,0.3333,0.0,1.0,0.0,0.0,-0.2142,0.544
EURUSD,forex,VOL_Range_Bkout,volatility,FAIL,2,True,VOLATILITY_TRAP,0.2421,0.89,1.129,-0.051,0.2828,0.0,0.1616,0.8384,0.0,0.269,0.252
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2389,0.927,1.012,-0.032,0.3244,0.5244,0.3732,0.0488,0.0537,0.0913,0.236
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.1916,0.855,0.992,-0.066,0.3198,0.5642,0.3503,0.0326,0.053,0.1602,0.078
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2046,0.831,1.075,-0.073,0.2903,0.5296,0.3118,0.0887,0.0699,0.2935,0.072
GOLD,commodity,VOL_Range_Bkout,volatility,FAIL,2,True,VOLATILITY_TRAP,0.1953,0.617,1.207,-0.206,0.2644,0.0,0.4023,0.5977,0.0,0.9567,0.018
NASDAQ,index,MR_RSI_Exhaust,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2357,0.912,1.022,-0.036,0.3205,0.4615,0.3513,0.141,0.0462,0.1202,0.22
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2917,0.994,1.002,-0.003,0.4035,0.4085,0.4787,0.0852,0.0276,0.0081,0.5
NASDAQ,index,TF_Momentum,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2873,0.992,0.989,-0.003,0.3852,0.4019,0.4809,0.0957,0.0215,-0.0034,0.478
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.1602,0.956,1.034,-0.019,0.382,0.4317,0.4441,0.1087,0.0155,0.0821,0.426
ITUB4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2537,0.87,0.985,-0.064,0.315,0.5512,0.3307,0.0551,0.063,0.1314,0.238
ITUB4,brazil_equity,MR_EMA_Dist,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2669,0.943,1.114,-0.027,0.3245,0.5563,0.351,0.0464,0.0464,0.1807,0.376
ITUB4,brazil_equity,TF_EMA_Slope,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2825,0.986,0.943,-0.006,0.3802,0.6694,0.3058,0.0165,0.0083,-0.044,0.454
ITUB4,brazil_equity,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2995,0.868,1.006,-0.066,0.3295,0.5568,0.3864,0.0227,0.0341,0.1589,0.278
ITUB4,brazil_equity,VOL_ATR_Expand,volatility,DEGRADED,0,True,DATA_MINING_OVERFIT,0.3236,1.942,0.0,0.288,0.5,0.0,1.0,0.0,0.0,-1.0,0.74
PETR4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2297,0.824,0.891,-0.087,0.3162,0.6471,0.2647,0.0147,0.0735,0.0821,0.19
PETR4,brazil_equity,MR_EMA_Dist,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.103,0.833,0.932,-0.083,0.3205,0.6346,0.2821,0.0192,0.0641,0.1194,0.14
PETR4,brazil_equity,MR_RSI_Exhaust,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.2513,0.728,0.989,-0.144,0.2857,0.6,0.2857,0.019,0.0952,0.3581,0.058
PETR4,brazil_equity,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2425,0.848,1.355,-0.076,0.337,0.6522,0.3043,0.0,0.0435,0.5976,0.254
PETR4,brazil_equity,VOL_Range_Bkout,volatility,FAIL,2,True,VOLATILITY_TRAP,0.3363,0.245,2.508,-0.652,0.0909,0.0,0.5455,0.4545,0.0,1.0,0.036
IBOV,index,MR_BB_Stretch,mean_reversion,DEGRADED,0,False,DATA_MINING_OVERFIT,0.6976,1.241,0.824,0.097,0.3873,0.5211,0.3944,0.0282,0.0563,-0.3364,0.862
IBOV,index,MR_EMA_Dist,mean_reversion,DEGRADED,0,False,DATA_MINING_OVERFIT,0.7975,1.229,0.841,0.093,0.3869,0.5655,0.369,0.0119,0.0536,-0.3156,0.874
IBOV,index,MR_RSI_Exhaust,mean_reversion,FAIL,1,False,STRUCTURAL_FAILURE,0.4075,0.995,0.976,-0.003,0.3421,0.5614,0.3596,0.0088,0.0702,-0.0189,0.496
IBOV,index,VOL_ATR_Expand,volatility,FAIL,2,True,VOLATILITY_TRAP,0.0,0.0,1.102,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SPY,us_etf,TF_EMA_Slope,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2413,0.871,1.033,-0.056,0.3359,0.5391,0.3906,0.0312,0.0391,0.1863,0.248
SPY,us_etf,TF_Momentum,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2849,0.98,0.853,-0.008,0.3681,0.5278,0.3889,0.0417,0.0417,-0.1298,0.466
SPY,us_etf,TF_Breakout_20,trend_follow,DEGRADED,0,False,DATA_MINING_OVERFIT,0.6045,1.357,0.931,0.127,0.413,0.5978,0.3478,0.0109,0.0435,-0.3135,0.906
SPY,us_etf,VOL_ATR_Expand,volatility,FAIL,2,True,VOLATILITY_TRAP,0.6058,0.436,1.082,-0.319,0.1818,0.0,1.0,0.0,0.0,1.0,0.154
QQQ,us_etf,MR_RSI_Exhaust,mean_reversion,DEGRADED,0,False,DATA_MINING_OVERFIT,0.5273,1.482,0.951,0.164,0.4174,0.513,0.3565,0.0522,0.0783,-0.3586,0.98
QQQ,us_etf,TF_EMA_Slope,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2729,0.958,1.073,-0.018,0.3644,0.5339,0.3983,0.0254,0.0424,0.1203,0.406
QQQ,us_etf,TF_Momentum,trend_follow,DEGRADED,1,False,STRUCTURAL_FAILURE,0.2913,1.005,0.989,0.002,0.368,0.544,0.392,0.024,0.04,-0.0156,0.498
QQQ,us_etf,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2657,0.924,0.95,-0.035,0.3765,0.5647,0.3882,0.0,0.0471,0.028,0.37
QQQ,us_etf,VOL_ATR_Expand,volatility,FAIL,2,True,VOLATILITY_TRAP,0.0,0.366,1.623,-0.44,0.2222,0.0,1.0,0.0,0.0,1.0,0.104
BTC,crypto,TF_EMA_Slope,trend_follow,DEGRADED,1,False,STRUCTURAL_FAILURE,0.2209,1.005,0.926,0.002,0.4065,0.4532,0.4839,0.0387,0.0242,-0.0784,0.508
BTC,crypto,TF_Momentum,trend_follow,DEGRADED,0,False,DATA_MINING_OVERFIT,0.2755,1.034,0.934,0.015,0.4041,0.4539,0.4802,0.0366,0.0293,-0.0974,0.666
BTC,crypto,TF_Breakout_20,trend_follow,FAIL,1,False,STRUCTURAL_FAILURE,0.2637,0.966,0.917,-0.015,0.3921,0.4564,0.4751,0.0539,0.0145,-0.0506,0.36
