hypothesis,asset,regime,n_test,n_oos,pf_test,pf_oos,degradation,stable
TF_Momentum,GOLD,MEAN_REVERTING,16,11,2.715,0.77,-0.7164,False
VOL_Range_Bkout,SPY,HIGH_VOLATILITY,12,11,5.171,1.502,-0.7095,False
MR_EMA_Dist,DXY,MEAN_REVERTING,21,36,1.672,0.535,-0.68,False
MR_BB_Stretch,DXY,MEAN_REVERTING,18,26,1.947,0.658,-0.6621,False
TF_Momentum,EURUSD,LOW_VOLATILITY,45,28,1.368,0.496,-0.6372,False
MR_EMA_Dist,GOLD,LOW_VOLATILITY,16,33,1.09,0.397,-0.6358,False
MR_RSI_Exhaust,BTC,LOW_VOLATILITY,43,41,1.382,0.515,-0.6271,False
MR_RSI_Exhaust,DXY,MEAN_REVERTING,19,27,1.032,0.435,-0.5786,False
TF_EMA_Slope,BTC,MEAN_REVERTING,15,26,1.316,0.566,-0.5704,False
MR_RSI_Exhaust,ITUB4,HIGH_VOLATILITY,29,42,1.676,0.768,-0.5416,False
TF_EMA_Slope,EURUSD,LOW_VOLATILITY,42,36,1.284,0.652,-0.4919,False
MR_RSI_Exhaust,EURUSD,HIGH_VOLATILITY,93,97,1.929,1.035,-0.4634,False
TF_EMA_Slope,BTC,LOW_VOLATILITY,24,22,1.902,1.058,-0.4438,False
TF_Momentum,BTC,MEAN_REVERTING,20,31,1.073,0.616,-0.4257,False
MR_RSI_Exhaust,QQQ,TRENDING,59,89,1.118,0.644,-0.4242,False
VOL_ATR_Expand,NASDAQ,HIGH_VOLATILITY,52,70,1.888,1.097,-0.4192,False
MR_EMA_Dist,IBOV,TRENDING,95,163,1.222,0.721,-0.4101,False
MR_BB_Stretch,EURUSD,HIGH_VOLATILITY,128,136,1.594,0.963,-0.3961,False
TF_Momentum,PETR4,HIGH_VOLATILITY,44,45,1.28,0.806,-0.3704,False
VOL_Range_Bkout,BTC,LOW_VOLATILITY,84,94,1.136,0.719,-0.3671,False
MR_BB_Stretch,IBOV,TRENDING,74,146,1.135,0.723,-0.363,False
MR_BB_Stretch,EURUSD,MEAN_REVERTING,34,80,1.289,0.842,-0.3466,False
MR_BB_Stretch,BTC,MEAN_REVERTING,17,42,0.921,0.604,-0.3435,False
MR_BB_Stretch,GOLD,LOW_VOLATILITY,20,28,1.77,1.185,-0.3302,False
MR_EMA_Dist,EURUSD,HIGH_VOLATILITY,169,167,1.576,1.083,-0.3125,False
MR_BB_Stretch,IBOV,HIGH_VOLATILITY,56,65,1.433,0.99,-0.3091,False
TF_Breakout_20,IBOV,TRENDING,46,80,1.377,0.96,-0.3033,False
MR_EMA_Dist,QQQ,TRENDING,97,114,1.188,0.83,-0.3014,False
MR_RSI_Exhaust,SPY,TRENDING,54,73,1.292,0.904,-0.3006,False
TF_Breakout_20,SPY,HIGH_VOLATILITY,32,56,1.096,0.771,-0.2964,False
MR_BB_Stretch,NASDAQ,LOW_VOLATILITY,58,74,1.212,0.857,-0.2932,False
TF_Momentum,ITUB4,TRENDING,73,122,1.253,0.895,-0.2856,False
MR_RSI_Exhaust,NASDAQ,MEAN_REVERTING,18,22,1.309,0.939,-0.283,False
MR_EMA_Dist,IBOV,HIGH_VOLATILITY,62,72,1.428,1.053,-0.2629,False
MR_EMA_Dist,DXY,LOW_VOLATILITY,67,60,1.453,1.072,-0.2624,False
TF_Momentum,GOLD,LOW_VOLATILITY,13,13,0.993,0.747,-0.2477,False
TF_EMA_Slope,ITUB4,TRENDING,81,121,1.166,0.894,-0.2329,False
MR_BB_Stretch,SPY,HIGH_VOLATILITY,45,71,1.564,1.201,-0.2322,False
MR_RSI_Exhaust,EURUSD,LOW_VOLATILITY,61,49,1.669,1.284,-0.2304,False
VOL_ATR_Expand,DXY,HIGH_VOLATILITY,56,50,1.06,0.818,-0.2287,False
