asset,category,hypothesis,group,oos_verdict,robustness,pf_degradation,period,regime,n_trades,pf,sharpe,win_rate,expectancy,max_dd
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,test,HIGH_VOLATILITY,128,1.5943,0.2007,0.4297,5.7843,236.11
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,test,LOW_VOLATILITY,57,0.9793,-0.0087,0.2982,-0.1409,141.58
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,test,MEAN_REVERTING,34,1.2893,0.1141,0.3824,2.2256,61.14
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,test,TRENDING,234,1.0864,0.0359,0.3675,0.8386,324.18
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,oos,HIGH_VOLATILITY,136,0.9628,-0.0166,0.3015,-0.3674,209.39
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,oos,LOW_VOLATILITY,55,1.086,0.0376,0.3636,0.5145,54.22
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,oos,MEAN_REVERTING,80,0.8424,-0.0759,0.275,-1.2687,237.85
EURUSD,forex,MR_BB_Stretch,mean_reversion,OOS_PASS,0.7148,-0.1305,oos,TRENDING,312,1.2123,0.0874,0.3814,1.5633,128.88
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,test,HIGH_VOLATILITY,169,1.5758,0.1976,0.426,5.6662,216.68
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,test,LOW_VOLATILITY,70,0.9194,-0.0355,0.3,-0.5473,145.19
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,test,MEAN_REVERTING,43,1.0603,0.0266,0.3488,0.5056,74.08
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,test,TRENDING,264,1.1053,0.0434,0.3712,0.9942,342.45
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,oos,HIGH_VOLATILITY,167,1.0833,0.0353,0.3353,0.7724,218.27
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,oos,LOW_VOLATILITY,63,0.9362,-0.0297,0.3175,-0.4017,104.04
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,oos,MEAN_REVERTING,99,0.8801,-0.0572,0.2929,-0.9512,289.51
EURUSD,forex,MR_EMA_Dist,mean_reversion,OOS_PASS,0.7618,-0.1153,oos,TRENDING,385,1.1878,0.0771,0.3636,1.4022,142.74
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,test,HIGH_VOLATILITY,93,1.9293,0.2892,0.5054,8.5077,196.2
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,test,LOW_VOLATILITY,61,1.669,0.2252,0.4754,3.7033,89.7
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,test,MEAN_REVERTING,39,0.8192,-0.0868,0.2564,-1.7782,188.32
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,test,TRENDING,210,1.1888,0.0729,0.3762,1.7707,259.08
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,oos,HIGH_VOLATILITY,97,1.0352,0.0152,0.3196,0.3509,188.23
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,oos,LOW_VOLATILITY,49,1.2844,0.1154,0.4082,1.4543,82.97
EURUSD,forex,MR_RSI_Exhaust,mean_reversion,PASS,0.8278,-0.2108,oos,MEAN_REVERTING,66,1.0403,0.0177,0.3333,0.3091,129.58
