hypothesis,group,period,stability_score,pf_mean,pf_std,pf_cv,n_regimes_covered,n_positive_regimes,best_regime,worst_regime,e_mean
VOL_Range_Bkout,volatility,oos,0.7832,1.203,0.261,0.2168,13,11,HIGH_VOLATILITY,LOW_VOLATILITY,18.6
TF_Breakout_20,trend_follow,test,0.7739,0.942,0.213,0.2261,26,11,TRENDING,LOW_VOLATILITY,-8.59
VOL_ATR_Expand,volatility,oos,0.7523,1.126,0.279,0.2477,7,5,HIGH_VOLATILITY,HIGH_VOLATILITY,35.28
MR_BB_Stretch,mean_reversion,oos,0.7081,0.996,0.291,0.2919,34,18,HIGH_VOLATILITY,MEAN_REVERTING,-3.43
MR_EMA_Dist,mean_reversion,test,0.681,1.063,0.339,0.319,32,22,MEAN_REVERTING,MEAN_REVERTING,7.98
TF_Breakout_20,trend_follow,oos,0.6714,1.099,0.361,0.3286,29,15,MEAN_REVERTING,HIGH_VOLATILITY,10.47
MR_BB_Stretch,mean_reversion,test,0.6685,1.144,0.379,0.3315,30,20,MEAN_REVERTING,MEAN_REVERTING,23.81
MR_RSI_Exhaust,mean_reversion,test,0.6622,1.162,0.392,0.3378,32,20,HIGH_VOLATILITY,MEAN_REVERTING,22.81
TF_EMA_Slope,trend_follow,test,0.6585,1.109,0.379,0.3415,29,17,MEAN_REVERTING,HIGH_VOLATILITY,16.02
TF_Momentum,trend_follow,test,0.6342,1.072,0.392,0.3658,29,15,MEAN_REVERTING,HIGH_VOLATILITY,2.6
TF_Momentum,trend_follow,oos,0.595,0.998,0.404,0.405,31,15,MEAN_REVERTING,LOW_VOLATILITY,-14.31
MR_EMA_Dist,mean_reversion,oos,0.592,1.059,0.432,0.408,35,20,MEAN_REVERTING,LOW_VOLATILITY,7.7
VOL_ATR_Expand,volatility,test,0.5879,1.123,0.463,0.4121,6,5,HIGH_VOLATILITY,HIGH_VOLATILITY,-9.65
MR_RSI_Exhaust,mean_reversion,oos,0.57,1.095,0.471,0.43,37,24,MEAN_REVERTING,MEAN_REVERTING,15.28
TF_EMA_Slope,trend_follow,oos,0.3497,1.295,0.842,0.6503,31,22,MEAN_REVERTING,MEAN_REVERTING,15.47
VOL_Range_Bkout,volatility,test,0.0217,1.328,1.299,0.9783,11,5,HIGH_VOLATILITY,HIGH_VOLATILITY,27.75
